src_ip,dst_ip,src_port,dst_port,proto,ip_version,service,duration,total_packets,total_bytes,a_to_b_packets,b_to_a_packets,a_to_b_bytes,b_to_a_bytes,a_to_b_packet_ratio,b_to_a_packet_ratio,packets_per_second,bytes_per_second,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,src_is_private,dst_is_private,both_private
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56235,tcp,ipv6,tcp_other,64.08823204040527,72,27260,35,37,15587,11673,0.4861111111111111,0.5138888888888888,1.1234511814057633,425.3511000711265,74,1506,378.6111111111111,505.1164759943865,2,71,0,0,26,0,0,0
fe80::8e1:d4f1:1fed:d47,ff02::fb,5353,5353,udp,ipv6,mdns,63.896496057510376,12,2772,12,0,2772,0,1.0,0.0,0.18780372540615276,43.38266056882129,147,259,231.0,48.49742261192856,0,0,0,0,0,1,1,1
120.53.53.53,192.168.1.173,443,61214,tcp,ipv4,https,63.81209588050842,310,59097,153,157,39675,19422,0.4935483870967742,0.5064516129032258,4.85801313563641,926.1096847635644,54,1506,190.63548387096773,237.8661036319045,0,310,0,0,155,0,1,0
192.168.1.183,224.0.0.251,5353,5353,udp,ipv4,mdns,63.793915033340454,13,2659,13,0,2659,0,1.0,0.0,0.20378119125007207,41.681091348764745,127,239,204.53846153846155,51.692307692307665,0,0,0,0,0,1,1,1
fe80::80f:fc10:f7e3:fdae,fe80::ca7:15fe:e814:bb3e,52708,49670,tcp,ipv6,tcp_other,63.30115103721619,3779,4608797,815,2964,145808,4462989,0.21566551997883038,0.7843344800211696,59.698756469345085,72807.47544843827,86,1514,1219.5811061127283,576.4341544800856,0,3779,0,0,19,1,1,1
192.168.1.173,209.9.200.159,51799,6001,tcp,ipv4,custom_tcp_6001,61.152629137039185,22,2981,11,11,1862,1119,0.5,0.5,0.3597555871342733,48.746882056694034,54,1160,135.5,238.95068909333955,0,22,0,0,3,1,0,0
183.131.155.11,192.168.1.173,443,56176,tcp,ipv4,https,61.05728006362915,59,16210,33,26,8365,7845,0.559322033898305,0.4406779661016949,0.9663057368181941,265.48840667496484,54,1506,274.7457627118644,431.3555532614632,2,57,2,1,23,0,1,0
192.168.1.173,69.30.197.146,65467,6011,tcp,ipv4,custom_tcp_6011,60.96010899543762,18,1128,9,9,534,594,0.5,0.5,0.29527506260441816,18.503903923210206,54,66,62.666666666666664,5.374838498865723,0,18,0,0,0,1,0,0
2406:da14:dd5:18a5:92a0:b82d:cba2:d736,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56218,tcp,ipv6,tcp_other,60.830496072769165,67,29407,34,33,18180,11227,0.5074626865671642,0.4925373134328358,1.1014212331895255,483.42528663290113,74,1506,438.910447761194,551.1860679776253,2,66,0,0,19,0,0,0
192.168.1.173,209.9.200.159,54734,6001,tcp,ipv4,custom_tcp_6001,60.62632918357849,21,3100,11,10,1992,1108,0.5238095238095238,0.47619047619047616,0.34638415821633073,51.13289954622025,54,746,147.61904761904762,202.23100327300773,0,21,0,0,4,1,0,0
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56243,tcp,ipv6,tcp_other,60.603858947753906,45,16535,21,24,10181,6354,0.4666666666666667,0.5333333333333333,0.7425269740462259,272.8374114634299,74,1506,367.44444444444446,497.75922584476547,2,44,0,0,10,0,0,0
192.168.1.173,209.9.200.159,53564,6001,tcp,ipv4,custom_tcp_6001,60.58475685119629,20,1260,10,10,600,660,0.5,0.5,0.3301160397345902,20.79731050327918,54,66,63.0,5.196152422706632,0,20,0,0,0,1,0,0
